Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
21,Meheim,Irongia,Irongia County,Scute,Scutean Confederacy,Crocodilians,The Blind Spot,capital,2238,2514,841,-12.21,134.23,441,25°C,Miami (USA),capital,,citadel,walls,plaza,,,{t1:azure;division:{division:perCross;t:argent;line:invecked};charges:[{charge:monk;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Meheim&population=2238&size=18&seed=5864998610021&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
22,Scutainviabi,Scutainia,Scutainia County,Scute,Scutean Confederacy,Stone-Scales,True Smelt,town,14813,2412.55,425.29,38.31,121.9,256,19°C,Marrakesh (Morocco),,,,,plaza,,,{t1:argent;charges:[{charge:arbalest;t:azure;p:jln;t2:azure;t3:azure;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Scutainviabi&population=14813&size=36&seed=5864998610022&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
23,Canopysunce,Canopywindia,Canopywindia Province,Canopy,Confederacy of Canopy,Canopy-Climbers,True Smelt,village,1970,1715.94,455.1,34.69,37.24,529,19°C,Marrakesh (Morocco),,port,,,plaza,,,{t1:gules;ordinaries:[{ordinary:crossParted;t:argent;line:straight}];charges:[{charge:lozengePloye;t:vert;p:e;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=1970&name=Canopysunce&seed=5864998610023&width=1600&height=780&style=default&tags=coast%2Chighway%2Cdense
24,Scutaimu,Scutainvicti,Scutainvicti County,Sumpkin,Marches of Sumpkin,Geckos,The Whisperers,town,720,444.61,684.26,6.84,-117.27,625,24°C,Dakar (Senegal),,port,,,plaza,,,{t1:argent;ordinaries:[{ordinary:chevron;t:azure}];charges:[{charge:inescutcheon;t:purpure;p:e;size:1.5};{charge:fusil;t:argent;p:e;size:0.75}];shield:heater},https://watabou.github.io/city-generator/?name=Scutaimu&population=720&size=12&seed=5864998610024&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
25,Heartspire,Heartlom,Heartlom Province,Ursine,Ursinean Oligarchy,Beavers,The Whisperers,capital,750,1028.28,819.56,-9.61,-46.33,324,26°C,Jakarta (Indonesia),capital,,citadel,walls,plaza,,,{t1:azure;ordinaries:[{ordinary:pilesInPoint;t:argent}];charges:[{charge:chalice;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartspire&population=750&size=12&seed=5864998610025&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
26,Heartveil,Heartwhisia,Heartwhisia Territory,Vaneer,Protectorate of Vaneer,Beavers,The Whisperers,village,19282,974.9,1412.5,-81.67,-52.82,289,15°C,Rome (Italy),,,,,plaza,,,{t1:azure;division:{division:perPale;t:or;line:dovetailed};charges:[{charge:lozengeFaceted;t:argent;p:ABCDEFGHIJKL;size:0.18};{charge:porcupine;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=19282&name=Heartveil&seed=5864998610026&width=1600&height=780&style=default&tags=highway%2Cdense
27,Lightbladows,Stormlashia,Stormlashia Area,Meridian Chain,Meridian Chainese League,Penguins,The Whisperers,town,2325,1828.47,100.25,77.82,50.92,400,8°C,Prague (Czechia),,port,,walls,plaza,,,{t1:gules;division:{division:perChevron;t:vert;line:engrailed};charges:[{charge:skull;t:or;p:dfbh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Lightbladows&population=2325&size=18&seed=5864998610027&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.58
28,Nightglide,Stormradowia,Stormradowia Canton,Meridian Chain,Meridian Chainese League,Penguins,The Whisperers,town,1698,2199.66,524.49,26.25,96.03,225,23°C,Rio de Janeiro (Brazil),,,,,plaza,,,{t1:argent;charges:[{charge:scaleImbalanced;t:vert;p:e;t2:sable;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Nightglide&population=1698&size=16&seed=5864998610028&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
29,Galecresther,,,Neutrals,undefined,Elephant Seals,The Whisperers,town,1519,2202.6,1382.07,-77.98,96.39,324,15°C,Rome (Italy),,,,,plaza,,,{t1:vert;charges:[{charge:snake;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Galecresther&population=1519&size=15&seed=5864998610029&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
30,Canopywodg,Cadeze,Cadeze Province,Canopy,Confederacy of Canopy,Canopy-Climbers,The Whisperers,town,20504,1953.92,299.19,53.64,66.16,289,15°C,Rome (Italy),,,,,plaza,,,{t1:vert;division:{division:perPale;t:argent;line:straight};charges:[{charge:crossArrowed;t:or;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canopywodg&population=20504&size=41&seed=5864998610030&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
31,Aumiluleanx,Vesia,Vesia Parish,Theocracy,Holy State of Theocracy,Dolphin-Kin,The Strangler,capital,6088,243.16,366.32,45.48,-141.75,361,17°C,Lisbon (Portugal),capital,port,citadel,walls,plaza,,,{t1:or;division:{division:perPale;t:gules;line:straight};charges:[{charge:lambPassantReguardant;t:vert;p:pq;t2:vert;divided:field;size:0.7};{charge:fly;t:argent;p:e;divided:division;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Aumiluleanx&population=6088&size=26&seed=5864998610031&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.37
32,Scutaim,Scutaimpa,Scutaimpa Territory,Scute,Scutean Confederacy,Monitor-Kin,The Whisperers,town,994,2625.57,824.43,-10.2,147.79,256,26°C,Jakarta (Indonesia),,,,,plaza,,,{t1:vert;division:{division:perPale;t:argent;line:straight};charges:[{charge:column;t:or;p:jl;divided:field;size:0.7};{charge:inescutcheon;t:gules;p:e;divided:division;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Scutaim&population=994&size=13&seed=5864998610032&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
33,Mephrixara,,,Neutrals,undefined,Crustacean-Kin,The Whisperers,town,16885,272.76,1355.16,-74.71,-138.15,484,15°C,Rome (Italy),,port,,,plaza,,,{t1:or;division:{division:perPale;t:vert;line:urdy};charges:[{charge:drakkar;t:azure;p:e;t2:azure;t3:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Mephrixara&population=16885&size=38&seed=5864998610033&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.76
34,Ironstalmen,,,Neutrals,undefined,Crocodilians,The Whisperers,town,5653,2502.24,1360.43,-75.35,132.8,289,16°C,Dubrovnik (Croatia),,port,citadel,,plaza,,,{t1:argent;division:{division:perPale;t:azure;line:straight};charges:[{charge:dolphin;t:gules;p:e;t2:gules;divided:field;size:1.5};{charge:crossMoline;t:or;p:e;divided:division;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ironstalmen&population=5653&size=25&seed=5864998610034&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=1.18
35,Starflare,Frostshria,Frostshria Commune,Sylvania,Sylvanian Commune,Iron-Woods,The Whisperers,village,410,816.92,407.35,40.49,-72.02,400,18°C,Barcelona (Spain),,,citadel,,plaza,,,{t1:or;ordinaries:[{ordinary:cross;t:sable;line:indented}];charges:[{charge:palace;t:argent;p:e;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=410&name=Starflare&seed=5864998610035&width=800&height=390&style=default&tags=dead+end%2Cuncultivated%2Cdense
36,Frostsnarl,Blizardhowl,Blizardhowl Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Rotting Vessel,town,8800,1462.24,133.64,73.76,6.41,256,10°C,London (England),,,,,plaza,,,{t1:chequy-gules-argent-smaller;ordinaries:[{ordinary:bend;t:argent;line:straight}];charges:[{charge:castle2;t:gules;p:joe;t2:argent;t3:gules;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Frostsnarl&population=8800&size=29&seed=5864998610036&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
37,Grothar,,,Neutrals,undefined,Manis,The Whisperers,village,6495,2640.21,284.16,55.46,149.57,256,15°C,Rome (Italy),,,,,plaza,,,{t1:argent;division:{division:perPale;t:gules;line:wavy};charges:[{charge:sunInSplendour;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=6495&name=Grothar&seed=5864998610037&width=1600&height=780&style=default&tags=highway%2Cdense
38,Scutaindest,Scutaimu,Scutaimu Territory,Meridian Chain,Meridian Chainese League,Monitor-Kin,The Blind Spot,town,1314,2411.07,814.42,-8.98,121.72,361,26°C,Jakarta (Indonesia),,,,,plaza,,,{t1:azure;division:{division:perCross;t:or;line:straight};charges:[{charge:anchor;t:argent;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Scutaindest&population=1314&size=14&seed=5864998610038&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
39,Ironlash,,,Neutrals,undefined,Serpent-Kin,The Whisperers,village,5502,2670.88,1028.24,-34.97,153.3,256,22°C,Guangzhou (China),,,,,plaza,,,{t1:vert;charges:[{charge:lionHeadCaboshed;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=5502&name=Ironlash&seed=5864998610039&width=1600&height=780&style=default&tags=river%2Cdead+end%2Cdense
40,Seex,Aetrarax,Aetrarax Republic,Meridian Chain,Meridian Chainese League,Walrus-Kin,Cult of Identity,village,5080,1977.2,1233.35,-59.9,68.99,324,18°C,Barcelona (Spain),,,,,plaza,,,{t1:argent;charges:[{charge:lionRampant;t:sable;p:bdefh;t2:sable;t3:gules;size:0.4}];shield:heater},https://watabou.github.io/village-generator/?pop=5080&name=Seex&seed=5864998610040&width=1600&height=780&style=default&tags=dead+end%2Cfarmland%2Cdense
41,Scutaimpavi,,,Neutrals,undefined,Stone-Scales,The Whisperers,trading_post,6721,2651.81,444.43,35.98,150.98,196,21°C,Tegucigalpa (Honduras),,,,,plaza,,,{t1:gules;charges:[{charge:sceptre;t:or;p:e;size:1.5}];shield:heater},null
42,Thunjawhis,Storhofia,Storhofia Margrave,Iron Caladra,Iron Caladran Kingdom,Frogs,The Whisperers,town,4005,591.61,807.03,-8.09,-99.4,324,26°C,Jakarta (Indonesia),,,,,plaza,,,{t1:pally-or-vert;division:{division:perCross;t:azure;line:straight};charges:[{charge:lizard;t:gules;p:j;size:0.6};{charge:fountain;t:or;p:l;size:0.6};{charge:lionRampant;t:argent;p:m;size:0.6};{charge:horseHeadCouped;t:vert;p:o;size:0.6}];shield:heater},https://watabou.github.io/city-generator/?name=Thunjawhis&population=4005&size=22&seed=5864998610042&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
43,Thun,Nightstorm,Nightstorm Canton,Meridian Chain,Meridian Chainese League,Moray-Kin,The Whisperers,trading_post,335,2290.9,940,-24.25,107.12,361,24°C,Dakar (Senegal),,,,,plaza,,,{t1:argent;charges:[{charge:portcullis;t:azure;p:abcpqh;t2:azure;size:0.5}];shield:heater},null
44,Aumina,,,Neutrals,undefined,Shark-Kin,The Whisperers,town,295,386.59,1102.09,-43.95,-124.32,256,21°C,Tegucigalpa (Honduras),,,,,plaza,,,{t1:azure;charges:[{charge:hand;t:or;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Aumina&population=295&size=8&seed=5864998610044&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
45,Gronkul,,,Neutrals,undefined,Ursine,The Whisperers,town,181,1018.96,549.84,23.17,-47.46,2025,12°C,Paris (France),,,citadel,,plaza,,,{t1:purpure;charges:[{charge:salmon;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Gronkul&population=181&size=7&seed=5864998610045&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
46,Anmasterge,Scutainfle,Scutainfle Land,Iron Caladra,Iron Caladran Kingdom,Frilled-Lizards,The Whisperers,town,10634,775.03,696.5,5.35,-77.11,324,27°C,Mogadishu (Somalia),,,,,plaza,,,{t1:or;division:{division:perPale;t:gules;line:bevilled};charges:[{charge:crossHummetty;t:purpure;p:p;size:0.7};{charge:snake;t:argent;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Anmasterge&population=10634&size=32&seed=5864998610046&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
47,Heartflame,Heartflalia,Heartflalia County,Sumpkin,Marches of Sumpkin,Beavers,The Null-Equation,capital,788,744,1101,-43.81,-80.88,289,21°C,Tegucigalpa (Honduras),capital,,citadel,walls,plaza,,,{t1:sable;charges:[{charge:lozenge;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartflame&population=788&size=12&seed=5864998610047&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
48,Glomerge,Glomerge,Glomerge Canton,Relience,Reliencean Republic,Salmon-Kin,The Whisperers,capital,21339,1256.82,297.24,53.87,-18.56,361,15°C,Rome (Italy),capital,port,citadel,walls,plaza,,,{t1:gules;ordinaries:[{ordinary:pale;t:argent;line:engrailed}];charges:[{charge:eagle;t:sable;p:e;t2:argent;t3:argent;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Glomerge&population=21339&size=41&seed=5864998610048&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=0.36
49,Windrush,Windrush,Windrush Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Rotting Vessel,capital,2574,1469.54,286.85,55.14,7.3,256,15°C,Rome (Italy),capital,port,citadel,walls,plaza,,,{t1:or;division:{division:perPale;t:purpure;line:straight};ordinaries:[{ordinary:bordure;t:gules}];charges:[{charge:lionHeadCaboshed;t:gules;p:e;t2:azure;size:1.1}];shield:heater},https://watabou.github.io/city-generator/?name=Windrush&population=2574&size=19&seed=5864998610049&river=0&coast=1&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.41
50,Bladow,,,Neutrals,undefined,Gliding Skinks,The Strangler,town,2609,579.29,495.78,29.74,-100.9,1156,15°C,Rome (Italy),,,,,plaza,,,{t1:ermine-argent-vert-small;charges:[{charge:bridge;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Bladow&population=2609&size=19&seed=5864998610050&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
51,Lumina,Lumina,Lumina Canton,Meridian Chain,Meridian Chainese League,Walrus-Kin,The Whisperers,capital,9683,2080.82,999.26,-31.45,81.59,225,24°C,Dakar (Senegal),capital,,citadel,walls,plaza,,,{t1:vert;division:{division:perCross;t:argent;line:straight};charges:[{charge:castle;t:or;p:j;t2:or;size:0.6};{charge:scythe2;t:purpure;p:l;size:0.6};{charge:hatchet;t:azure;p:m;size:0.6};{charge:eagle;t:argent;p:o;size:0.6}];shield:heater},https://watabou.github.io/city-generator/?name=Lumina&population=9683&size=31&seed=5864998610051&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
52,Nocturna,,,Neutrals,undefined,Crustacean-Kin,The Whisperers,village,1989,131.43,1236.25,-60.25,-155.33,2025,7°C,Montreal (Canada),,port,,,plaza,,,{t1:gules;division:{division:perCross;t:masoned-or-sable-small;line:dentilly};charges:[{charge:boat2;t:argent;p:j;size:0.6};{charge:annulet;t:gules;p:l;size:0.6};{charge:basilisk;t:gules;p:m;size:0.6};{charge:snail;t:or;p:o;size:0.6}];shield:heater},https://watabou.github.io/village-generator/?pop=1989&name=Nocturna&seed=5864998610052&width=1600&height=780&style=default&tags=coast%2Cdead+end%2Cuncultivated%2Cdense
